method,accuracy,precision,recall,f1,auc,threshold
PPL,0.615,0.5925925925925926,0.367816091954023,0.45390070921985815,0.6032956972841014,-0.19516384601593018
SAPLMA-L16,0.72,0.7012987012987013,0.6206896551724138,0.6585365853658537,0.7667582138134472,0.5695440173149109
Summed-Heads,0.735,0.7428571428571429,0.5977011494252874,0.6624203821656051,0.7919845387040994,0.6689717173576355
Single-L16_H6,0.695,0.703125,0.5172413793103449,0.5960264900662252,0.7324788932967145,0.5515425205230713
Single-L15_H6,0.69,0.6506024096385542,0.6206896551724138,0.6352941176470588,0.7406164174549894,0.5852816104888916
Single-L11_H1,0.7,0.6551724137931034,0.6551724137931034,0.6551724137931034,0.7572983419794527,0.6048344969749451
Single-L18_H0,0.655,0.6607142857142857,0.42528735632183906,0.5174825174825175,0.7157969687722511,0.6279574036598206
Single-L13_H11,0.685,0.6224489795918368,0.7011494252873564,0.6594594594594595,0.7676736852812531,0.6289515495300293
Voting-Ensemble,0.735,0.7361111111111112,0.6091954022988506,0.6666666666666666,0.7937137625877326,
