dataset,accuracy,auc,best_threshold
animals,0.6041666666666666,0.6289780958679768,4.6875
cities,0.7033,0.7245785105447845,4.65625
companies,0.5691666666666667,0.5947388888888889,2.734375
elements,0.6161290322580645,0.6556665510463637,5.4375
inventions,0.5970319634703196,0.618895421827921,4.03125
facts,0.6944444444444444,0.7438965782391388,3.578125
